File exported using Electropherogram Manipulator,,
,,
,,
Data File:,002 150 nM AlkB.asc.csv,
,,
,,
,,
Sampling Rate:,4,
Total Data Points:,4660,
,,
,,µA
,,
Signal (AU),,
-16362,,
-16416,,
-16419,,
-16419,,
-16318,,
-16198,,
-16127,,
-16127,,
-16156,,
-16181,,
-16188,,
-16196,,
-16232,,
-16292,,
-16325,,
-16325,,
-16248,,
-16157,,
-16157,,
-16157,,
-16229,,
-16280,,
-16280,,
-16266,,
-16257,,
-16257,,
-16285,,
-16319,,
-16356,,
-16387,,
-16387,,
-16327,,
-16210,,
-16089,,
-16089,,
-16135,,
-16321,,
-16497,,
-16551,,
-16551,,
-16487,,
-16474,,
-16474,,
-16531,,
-16564,,
-16564,,
-16494,,
-16389,,
-16273,,
-16170,,
-16108,,
-16108,,
-16168,,
-16247,,
-16300,,
-16315,,
-16322,,
-16356,,
-16416,,
-16432,,
-16432,,
-16339,,
-16219,,
-16124,,
-16087,,
-16087,,
-16113,,
-16119,,
-16119,,
-16091,,
-16090,,
-16090,,
-16145,,
-16215,,
-16273,,
-16276,,
-16276,,
-16222,,
-16171,,
-16171,,
-16178,,
-16203,,
-16214,,
-16218,,
-16243,,
-16299,,
-16365,,
-16374,,
-16374,,
-16315,,
-16262,,
-16262,,
-16297,,
-16378,,
-16464,,
-16529,,
-16565,,
-16565,,
-16529,,
269,,
337,,
390,,
421,,
440,,
454,,
454,,
453,,
418,,
368,,
346,,
346,,
441,,
598,,
762,,
867,,
867,,
772,,
599,,
420,,
304,,
282,,
282,,
282,,
268,,
223,,
168,,
116,,
75,,
49,,
36,,
30,,
26,,
25,,
25,,
51,,
101,,
152,,
152,,
148,,
114,,
101,,
101,,
101,,
93,,
68,,
68,,
76,,
144,,
230,,
290,,
297,,
297,,
287,,
273,,
243,,
207,,
201,,
201,,
209,,
209,,
190,,
190,,
192,,
227,,
250,,
250,,
210,,
158,,
120,,
108,,
107,,
98,,
56,,
2,,
2,,
26,,
123,,
223,,
255,,
255,,
183,,
106,,
81,,
81,,
117,,
137,,
137,,
95,,
37,,
-10,,
-24,,
-24,,
9,,
68,,
133,,
174,,
174,,
158,,
139,,
124,,
99,,
61,,
44,,
44,,
86,,
111,,
111,,
78,,
56,,
56,,
78,,
110,,
138,,
138,,
91,,
22,,
-24,,
-30,,
-34,,
-50,,
-98,,
-150,,
-188,,
-212,,
-231,,
-244,,
-251,,
-251,,
-244,,
-221,,
-187,,
-150,,
-113,,
-88,,
-88,,
-127,,
-187,,
-229,,
-229,,
-159,,
-56,,
-8,,
-8,,
-105,,
-212,,
-244,,
-244,,
-168,,
-85,,
-36,,
-36,,
-37,,
-37,,
-29,,
-12,,
11,,
36,,
54,,
54,,
48,,
14,,
-29,,
-29,,
-14,,
65,,
154,,
195,,
195,,
133,,
44,,
-37,,
-78,,
-78,,
-45,,
-9,,
13,,
13,,
0,,
-64,,
-174,,
-273,,
-273,,
-199,,
-53,,
64,,
117,,
129,,
129,,
128,,
104,,
57,,
15,,
15,,
51,,
106,,
115,,
115,,
47,,
-35,,
-100,,
-142,,
-178,,
-227,,
-279,,
-291,,
-291,,
-278,,
-275,,
-271,,
-210,,
-95,,
